Tested Params: nbRoots and ratioDeletedRoots. Trainings lead on MNIST with default Kelly parameters on 300 generations. With seed : 1, 2 and 3.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Training;nbRoots;ratioDeletedRoots;Score 1;Score 2;Score 3;Score 4;Score 5;Score 6;Score 7;Score 8;Moyenne;Gen 1;Gen 2;Gen 3;Gen 4;Gen 5;Gen 6;Gen 7;Gen 8;Moyenne;Temps
54;100;0.5;37,27;23,38;29,89;25,83;31,47;37,89;36,24;29,05;31,38;284;61;201;135;114;299;231;81;175,75;110
55;100;0.7;26,22;43,4;43,28;42,74;34,84;37,69;33,26;40,39;37,73;19;219;281;247;176;102;210;110;170,50;184
56;100;0.8;36,76;38,85;42,04;37,45;41,05;41,22;44,13;27,1;38,58;262;152;147;190;272;299;294;100;214,50;138
57;100;0.85;47,29;39,75;39,56;41,75;42,63;43,29;39,39;44,05;42,21;247;293;298;299;224;298;288;250;274,63;284
58;100;0.9;10;47,58;48,99;37,05;48,38;43,09;39,75;51,41;40,78;299;284;276;173;242;272;252;298;262,00;233
59;100;0.95;10;38,41;44,49;10;49,98;41,12;44,59;48,74;35,92;299;275;292;299;299;271;282;299;289,50;454
60;100;0.99;10;10;10;47,28;10;33,9;41,09;10;21,53;299;299;299;296;299;193;221;299;275,63;97
61;360;0.01;12,15;10,29;12,15;10,03;10,29;12,15;10,34;10,29;10,96;299;223;298;193;265;299;133;200;238,75;78
62;360;0.1;16,99;19,55;18,98;21,78;19,7;18,15;19,9;18,3;19,17;299;299;195;280;245;285;176;83;232,75;121
63;360;0.3;29,3;26,74;36,85;36,6;33,67;24,19;32,48;31,21;31,38;196;270;293;277;223;177;218;251;238,13;229
64;360;0.5;40,16;39,08;31,17;28,24;42,55;45,39;38,01;42,89;38,44;242;219;207;132;275;298;287;298;244,75;235
65;360;0.7;48,51;40,61;46,53;46,05;44,15;43,69;41,37;45,82;44,59;278;259;290;206;294;291;227;268;264,13;303
66;360;0.8;40,88;45,06;51,42;50,17;45,93;45,88;45,92;42,63;45,99;145;248;288;240;242;223;262;132;222,50;367
67;360;0.85;46,04;46,71;46,72;50,5;43,73;49,22;52,73;46,02;47,71;226;299;261;273;259;186;293;223;252,50;449
68;360;0.9;47,67;54,39;44,89;45,2;46,34;48,69;42,96;50,2;47,54;227;249;227;203;296;265;299;257;252,88;531
69;360;0.95;55,83;47,15;52,01;54;51,58;53,77;51,06;49,99;51,92;299;291;299;299;271;299;299;299;294,50;720
70;360;0.99;53,26;51,79;48,06;58,02;47,55;47,08;52,48;48,81;50,88;297;282;283;252;279;297;299;299;286,00;541
71;500;0.01;10,79;11,89;14,17;14,17;12,2;12,2;14,17;14,17;12,97;299;281;299;299;203;289;299;299;283,50;106
72;500;0.1;17,88;24,96;23,37;15,5;17,15;15,93;15,5;18,71;18,63;245;299;156;82;299;116;124;268;198,63;166
73;500;0.3;21,34;33,57;21,26;32,69;28,93;29,06;34,97;31;29,10;267;276;150;293;279;252;283;201;250,13;286
74;500;0.5;40,69;36,75;42,95;34,09;38,64;39,3;43,27;40,44;39,52;267;236;206;257;271;294;279;295;263,13;409
75;500;0.7;32,24;46,08;44,79;42,97;43,4;48,39;42,48;43,13;42,94;81;246;280;262;297;289;128;295;234,75;482
76;500;0.8;47,22;43,28;48,45;43,48;46,59;35,11;48,89;41,3;44,29;282;260;285;294;290;258;299;180;268,50;462
77;500;0.85;48,34;49,41;50,25;49,52;49,8;48,55;48,77;47,44;49,01;263;287;246;289;244;272;268;284;269,13;401
78;500;0.9;51,31;49,85;46,06;52,36;53,21;50,26;43,83;51,14;49,75;211;276;208;261;272;282;202;286;249,75;453
79;500;0.95;46,75;49,07;48,27;49,29;49,8;53,44;49,45;53,06;49,89;224;217;276;295;299;295;299;299;275,50;524
80;500;0.99;10;47,96;48,98;49,14;50,11;47,86;55,99;51,01;45,13;299;276;292;299;299;299;291;294;293,63;849
81;1000;0.01;11,19;13,8;13,8;13,31;13,8;13,31;13,8;13,8;13,35;299;299;299;299;242;284;299;299;290,00;186
82;1000;0.1;19,52;18,25;20,23;18,25;20,12;18,76;18,25;19,26;19,08;282;261;240;187;240;213;206;298;240,88;356
83;1000;0.3;25,57;33,78;35,18;37,51;36,24;33,82;36,48;33,37;33,99;202;252;216;299;234;200;294;186;235,38;587
84;1000;0.5;36,17;43,67;41,17;43,9;45,43;42,63;45,61;36,65;41,90;240;299;267;284;298;291;280;274;279,13;720
85;1000;0.7;35,63;47,2;48,86;47,96;54,32;50,01;51,81;48,97;48,10;207;259;277;263;276;254;270;296;262,75;823
86;1000;0.8;53,37;48,41;49,99;51,22;52,97;50,56;52,79;44,45;50,47;284;299;232;298;269;296;290;250;277,25;912
87;1000;0.85;53,21;51,46;56,7;52,83;46,57;50,17;47,94;51,94;51,35;299;281;297;297;273;217;243;299;275,75;1259
88;1000;0.9;31,68;52,4;52,98;52,36;53,17;56,52;52,17;49,25;50,07;258;280;298;279;239;284;280;297;276,88;1101
89;1000;0.95;52,88;55,2;51,52;53,08;53,83;50,06;54,76;52,87;53,03;147;272;274;289;261;213;273;265;249,25;1142
90;1000;0.99;10,01;55,68;52,51;54,52;57,26;55,22;56,87;54,55;49,58;1;298;299;286;266;295;267;278;248,75;1639
91;2000;0.01;10;15,46;13,36;15,46;13,36;15,46;13,36;13,36;13,73;253;299;299;273;299;299;299;299;290,00;507
92;2000;0.1;16,87;19,04;18,3;18,3;17,19;24,55;17,36;18,3;18,74;204;243;183;172;172;275;299;132;210,00;1021
93;2000;0.3;40,15;39,46;35,19;35,51;38,85;33,71;33,27;37,42;36,70;287;298;296;243;292;295;275;279;283,13;1810
94;2000;0.5;47,42;41,2;45,8;42,02;47,54;47,81;43,61;45,31;45,09;235;224;290;231;298;181;272;275;250,75;2179
95;2000;0.7;50,07;52,65;50,4;48,62;53,28;47,9;48,27;47,39;49,82;263;276;267;289;298;290;287;297;283,38;2759
96;2000;0.8;52,44;53,5;56,87;49,05;52,14;51,3;53,22;59,09;53,45;286;277;286;281;293;298;297;282;287,50;2729
97;2000;0.85;58,12;52,01;54,73;55,93;53,26;52,22;55,83;52,58;54,34;289;271;277;299;248;238;298;288;276,00;2766
98;2000;0.9;51,56;54,6;52,07;54,59;58,25;49,91;57,23;50,55;53,60;256;244;294;274;295;256;299;296;276,75;2971
99;2000;0.95;58,83;53,65;54,75;54,77;54,46;55,13;58,43;54,53;55,57;229;286;299;263;282;252;293;290;274,25;2710
100;2000;0.99;55,04;54,95;58,65;52,74;52,96;55,07;54,1;55,52;54,88;298;241;225;247;296;271;217;299;261,75;2103
101;3000;0.01;11,19;16,38;10,6;;;;;;12,72;299;299;81;;;;;;226,33;910
102;3000;0.1;17,54;20,8;15,51;;;;;;17,95;167;255;163;;;;;;195,00;1980
103;3000;0.3;36,85;39,81;36,53;;;;;;37,73;263;293;287;;;;;;281,00;3465
104;3000;0.5;51,71;43,99;48,03;;;;;;47,91;298;271;261;;;;;;276,67;4334
105;3000;0.7;53,1;49,24;47,66;;;;;;50,00;277;297;292;;;;;;288,67;5054
106;3000;0.8;53,73;55,33;50,99;;;;;;53,35;295;289;281;;;;;;288,33;5525
107;3000;0.85;54,04;52,2;54,99;;;;;;53,74;268;295;291;;;;;;284,67;5486
108;3000;0.9;54,47;58,56;56,92;;;;;;56,65;229;287;298;;;;;;271,33;4813
109;3000;0.95;56,17;59,12;58,04;;;;;;57,78;285;285;297;;;;;;289,00;4847
110;3000;0.99;56,51;57,64;55,49;;;;;;56,55;188;284;299;;;;;;257,00;4392
111;4000;0.01;11,59;9,65;10,62;;;;;;10,62;295;52;173,50;;;;;;173,50;1500
112;4000;0.1;18,38;18,75;18,57;;;;;;18,57;244;256;250,00;;;;;;250,00;3403
113;4000;0.3;35,1;43,32;39,21;;;;;;39,21;299;255;277,00;;;;;;277,00;5984
114;4000;0.5;47,4;44,24;45,82;;;;;;45,82;235;271;253,00;;;;;;253,00;7501
115;4000;0.7;51,26;53,22;52,24;;;;;;52,24;272;296;284,00;;;;;;284,00;8023
116;4000;0.8;52,2;55,96;54,08;;;;;;54,08;286;292;289,00;;;;;;289,00;8076
117;4000;0.85;55,39;50,98;53,19;;;;;;53,19;298;298;298,00;;;;;;298,00;8104
118;4000;0.9;56,29;57,47;56,88;;;;;;56,88;294;292;293,00;;;;;;293,00;8491
119;4000;0.95;59,12;54,57;56,85;;;;;;56,85;288;296;292,00;;;;;;292,00;7867
120;4000;0.99;56,79;56;56,40;;;;;;56,40;244;272;258,00;;;;;;258,00;6855
121;5000;0.01;14,13;14,13;14,13;;;;;;14,13;299;299;299;;;;;;299,00;2252
122;5000;0.1;17,63;21,27;16,62;;;;;;18,51;286;293;249;;;;;;276,00;5141
123;5000;0.3;34,49;35,17;36,51;;;;;;35,39;290;281;231;;;;;;267,33;9146
124;5000;0.5;49,19;41,49;55,55;;;;;;48,74;273;293;299;;;;;;288,33;10903
125;5000;0.7;49,4;50,35;52,11;;;;;;50,62;291;284;282;;;;;;285,67;12495
126;5000;0.8;52,2;52,12;58,51;;;;;;54,28;273;263;282;;;;;;272,67;11747
127;5000;0.85;54,32;55,16;55,39;;;;;;54,96;297;299;296;;;;;;297,33;12332
